,title,location,salary,Experience,date
833,Foreign Service Office Management Specialist,"Washington, DC 20520 (Foggy Bottom area)",66395,3,12/3/20
864,IT Specialist (Drupal),"Washington, DC 20001 (Downtown area)",100352.5,8,8/22/19
1027,Human Resources Specialist,"Rockville, MD•Temporarily Remote",110998,3,8/21/17
1057,Forensic Mobile Analyst III (Digital Forensics),"Rosslyn, VA",125000,5,6/17/18
1723,Data Analyst - MS Access & Excel,"Azusa, CA",73000,3,5/7/19
77,Web Developer,"Lanham, MD",85000,3,4/16/18
330,Junior Infrastructure Engineer,"Washington, DC 20050 (Capitol Hill area)+1 location•Remote",120000,7,3/13/19
304,Senior Data Engineer,"Arlington, VA 22201 (Clarendon-Courthouse area)•Temporarily Remote",135743,7,4/20/17
342,Microsoft Cloud Solutions Architect,"Falls Church, VA 22043•Temporarily Remote",155000,9,1/8/17
366,Senior Software Engineer - Subject Matter Expert,"Washington, DC•Temporarily Remote",125000,8,11/20/18
340,Microsoft Cloud Solutions Architect,"Falls Church, VA 22043•Temporarily Remote",155000,11,9/28/19
383,Sr. System Engineer,"Washington, DC 20526 (Foggy Bottom area)•Temporarily Remote",130339.5,5,2/18/19
1017,Supervisory Program Manager,"Washington, DC",158314,3,11/12/18
834,Supervisory Program Manager,"Washington, DC",158314,7,11/28/17
990,"IT Specialist, CG-2210-15","Washington, DC",200437,7,6/8/18
811,"IT Specialist, CG-2210-15","Washington, DC",200437,6,2/27/20
386,Senior Systems Engineer,"McLean, VA 22101",175000,5,4/10/20
377,Senior Systems Engineer,"McLean, VA 22101",175000,5,8/24/17
832,INFORMATION TECHNOLOGY SPECIALIST(SYSANALYSIS),"Fort Meade, MD",119244,9,8/1/17
1010,INFORMATION TECHNOLOGY SPECIALIST(SYSANALYSIS),"Fort Meade, MD",119244,8,10/21/18
337,Cloud Architect,"Washington, DC 20202 (Southwest Federal Center area)",133177.5,10,6/14/18
895,SUPERVISORY POLICY ANALYST,"Camp Springs, MD",158314,9,1/1/20
827,LOGISTICS MANAGEMENT SPECIALIST,"Washington Navy Yard, DC",140908,6,12/24/18
850,IT SPECIALIST (NETWORK),"Fort Belvoir, VA",110998,7,6/16/19
909,FINANCIAL ANALYST,"Washington, DC•Temporarily Remote",128613,8,1/3/17
954,PROGRAM ANALYST,"Arlington, VA+1 location",140908,6,11/16/20
926,Sr. System Administrator,"Fort Meade, MD",162500,11,7/7/17
899,Management and Program Analyst,"Alexandria, VA",119244,7,12/26/20
1045,IT SPECIALIST (POLICY & PLANNING),"Arlington, VA•Remote",131488,5,7/19/19
918,FINANCIAL ANALYST,"Washington, DC•Temporarily Remote",128613,8,11/24/17
890,Policy Analyst,"Washington, DC•Temporarily Remote",110998,9,12/8/17
1026,IT SPECIALIST (NETWORK),"Fort Belvoir, VA",110998,11,10/17/20
975,Supervisory Budget Analyst,"Washington, DC",158314,3,10/16/18
887,Policy Analyst,"Washington, DC•Temporarily Remote",110998,4,7/30/17
929,Management & Program Analyst,"Alexandria, VA•Temporarily Remote",119244,4,5/2/17
932,Management & Program Analyst,"Alexandria, VA•Temporarily Remote",119244,5,8/16/20
865,IT SPECIALIST (POLICY & PLANNING),"Arlington, VA•Remote",131488,11,12/22/19
867,IT SPECIALIST (POLICY & PLANNING),"Arlington, VA•Remote",131488,11,1/30/19
935,Procurement Analyst,"Washington, DC•Temporarily Remote",100280,7,1/21/19
345,Cloud Security Engineer,"Columbia, MD 21045•Temporarily Remote",120000,5,7/18/18
349,Cloud Security Engineer,"Columbia, MD 21045•Temporarily Remote",120000,7,6/29/20
1216,Senior Security Engineer,"Dallas, TX",107500,11,10/22/20
1217,Senior Security Engineer,"Fort Worth, TX",92500,10,1/25/20
166,Junior Software Developer,"Washington, DC+1 location•Temporarily Remote",67500,5,11/3/19
52,Junior Software Developer,"Washington, DC•Temporarily Remote",67500,9,10/20/17
12,Junior Software Developer,"Washington, DC•Temporarily Remote",67500,8,10/30/18
169,Junior Software Developer,"Washington, DC+1 location•Temporarily Remote",67500,3,5/7/18
4,Junior Software Developer,"Washington, DC•Temporarily Remote",67500,6,6/2/18
17,Junior Software Developer,"Washington, DC•Temporarily Remote",67500,9,3/11/17
45,Junior Software Developer,"Washington, DC+1 location•Temporarily Remote",67500,3,2/6/18
877,Community Manager,"Washington, DC",60000,10,9/6/20
1211,Sr. Security Analyst,"San Diego, CA",18000,6,3/8/19
2847,Data Analyst,"San Jose, CA",150000,6,8/12/19
1848,Data Analyst,"San Jose, CA",150000,9,9/1/17
353,Jr. DevOps Engineer - Secret,"Annapolis Junction, MD",77500,8,1/23/20
390,Senior Systems Engineer/Technical SME,"Washington, DC 20002 (Downtown area)•Temporarily Remote",120000,3,3/15/19
1038,Senior IT Specialist - Subject Matter Expert (SME) Level 2,"Washington, DC 20535 (Downtown area)",75500,4,11/14/19
857,Senior IT Specialist - Subject Matter Expert (SME) Level 2,"Washington, DC 20535 (Downtown area)",75500,6,1/24/17
933,PROGRAM ANALYST,"Arlington, VA+1 location",119244,4,1/6/17
930,PROGRAM ANALYST,"Arlington, VA+1 location",119244,9,7/28/18
928,Management and Program Analyst,"Arlington, VA+1 location",110998,10,3/30/17
848,Regulatory Specialist,"Arlington, VA",86745.5,10,1/4/17
982,PROGRAM ANALYST,"Arlington, VA",119244,10,9/4/18
924,Management Analyst,"Washington, DC",107824.5,8,4/11/18
817,IT SPECIALIST (CUSTSPT),"Fort Meade, MD",117253.5,10,9/9/19
920,MANAGEMENT ANALYST,"Washington Navy Yard, DC",93056,8,9/21/17
1034,Budget Analyst,"Washington, DC",100280,6,7/22/19
824,LOGISTICS MANAGEMENT SPECIALIST,"Washington Navy Yard, DC",110998,5,12/12/17
981,Supervisory International Trade Compliance Analyst,"Washington, DC•Temporarily Remote",140908,7,9/16/19
941,Senior Business Analyst,"Washington, DC•Temporarily Remote",97500,7,9/3/19
939,INTELLIGENCE SPECIALIST,"Fort Meade, MD+1 location",100280,10,7/25/17
810,Information Technology Specialist (Computer Specialist),"Washington, DC",119244,10,8/12/19
825,INTELLIGENCE SPECIALIST,"Fort Meade, MD",100280,7,8/9/18
978,LANGUAGE SPECIALIST,"Fort Meade, MD",100280,11,2/18/20
973,MANAGEMENT AND PROGRAM ANALYST,"Anacostia, DC",119244,7,5/24/17
972,MANAGEMENT AND PROGRAM ANALYST,"Anacostia, DC",119244,8,12/9/20
946,STRATEGIC ANALYST,"Arlington, VA•Remote",140908,9,5/29/18
952,PROGRAM ANALYST,"Arlington, VA",140908,3,4/25/19
963,Policy Analyst,"Washington, DC",77355,5,5/27/19
961,Science Analyst,"Alexandria, VA•Remote",103773,10,8/1/19
402,Sr. System Engineer,"Fort Meade, MD",133500,3,8/5/20
956,Public Health Analyst PD 18R007 / 18R008 - Health Systems Bu...,"Rockville, MD",110998,11,1/14/17
914,"Program Analyst, GS-343-11/12","Washington, DC",93056,8,3/3/18
823,LOGISTICS MANAGEMENT SPECIALIST,"Arlington, VA",165747.5,11,1/12/18
989,Information Technology Specialist (Computer Specialist),"Washington, DC",119244,8,8/22/18
837,IT PROGRAM MANAGER (PLCYPLN),"Washington Navy Yard, DC",113470.5,4,8/25/17
845,IT Specialist (Policy and Planning),"Washington, DC",100280,3,1/19/18
1033,IT Program Manager (Deputy Director),"Washington, DC",158314,7,12/4/20
1036,Knowledge Management Program Specialist,"Washington, DC 20036 (Dupont Circle area)",50097.5,4,10/17/20
1037,Knowledge Management Program Specialist,"Washington, DC 20036 (Dupont Circle area)",50097.5,10,3/2/17
1039,Statistician,"Rockville, MD",119244,3,10/18/18
853,IT Program Manager (Deputy Director),"Washington, DC",158314,10,10/28/19
860,Budget Analyst,"Washington, DC",100280,5,7/23/18
862,Knowledge Management Program Specialist,"Washington, DC 20036 (Dupont Circle area)",50097.5,11,1/18/18
912,Social Science Research Analyst,"Washington, DC",100280,9,12/20/18
1024,Regulatory Specialist,"Arlington, VA",86745.5,11,12/30/17
1022,IT Specialist (Policy and Planning),"Washington, DC",100280,5,5/23/17
876,IT SPECIALIST (ENTARCH/NETWORK),"Arlington, VA•Remote",163714,8,1/12/20
839,IT Cybersecurity Specialist (INFOSEC),"Arlington, VA",158314,8,11/8/17
843,Public Health Analyst PD 18R007 / 18R008 - Health Systems Bu...,"Rockville, MD",110998,5,8/29/19
836,IT PROGRAM MANAGER (PLCYPLN),"Washington Navy Yard, DC",113470.5,5,10/12/19
906,"Program Analyst, GS-343-11/12","Washington, DC",93056,9,4/2/19
897,Military Analyst,"Washington, DC 20505 (Foggy Bottom area)",108678,11,11/27/18
896,PROGRAM ANALYST (SC-COP),"Arlington, VA",103774,6,11/11/18
882,Senior Level Supply Chain/Risk Management Intelligence Analy...,"Washington, DC 20024 (Southwest Federal Center area)",180000,4,10/3/19
900,Management & Program Analyst,"Washington, DC",100280,4,8/29/18
1001,IA Security Specialist-Senior,"Crystal City, VA+1 location",155000,11,10/12/19
903,Policy and Program Analyst,"Washington, DC",76689,5,6/8/17
1056,IT SPECIALIST (ENTARCH/NETWORK),"Arlington, VA•Remote",163714,9,2/24/19
910,Program Analyst,"Washington, DC",119244,8,12/19/18
892,"Intelligence Analyst, Senior","Washington, DC 20260 (Southwest Federal Center area)",99820,6,2/18/18
1054,IT SPECIALIST (ENTARCH/NETWORK),"Arlington, VA•Remote",163714,8,11/1/20
885,Senior Logistics Analyst,"Arlington, VA 22204 (Alcova Heights area)•Temporarily Remote",92500,6,9/25/17
852,"Manager, Technical Support","Washington, DC 20001 (NoMa area)",85152,4,3/21/17
1029,"Manager, Technical Support","Washington, DC 20001 (NoMa area)",85152,9,9/20/20
3315,Software Development Engineer I,"Tempe, AZ",91500,6,8/6/18
3324,Software Development Engineer,"Cupertino, CA",111000,10,5/21/18
936,Benefits/HRIS Analyst,"District Heights, MD 20747",80000,4,5/20/17
977,Senior Business Analyst - Mobile Applications,"Washington, DC•Temporarily Remote",144560,7,12/17/18
1218,Senior Security Analyst (GRC ),"Chicago, IL",67000,11,3/5/19
1209,Senior Security Analyst (GRC ),"Chicago, IL",67000,9,3/31/19
1849,Data Analyst,"San Jose, CA",150000,10,3/1/17
1212,Senior Security Incident Response Analyst - Manager/Lead,"Addison, TX",62000,3,4/7/17
859,IT Project Manager,"Arlington, VA",140908,8,3/18/20
1032,IT Project Manager,"Arlington, VA",140908,4,11/27/18
702,Principal DevSecOps Engineer,"Washington, DC 20001 (Shaw area)•Remote",187500,6,7/4/20
710,Principal DevSecOps Engineer,"Washington, DC 20001 (Shaw area)•Remote",187500,10,7/13/19
734,Principal DevSecOps Engineer,"Washington, DC 20001 (Shaw area)•Remote",187500,4,2/18/17
766,Principal DevSecOps Engineer,"Washington, DC 20001 (Shaw area)•Remote",187500,11,11/19/18
784,Power Platform Application Developer (Programmer Analyst III...,"Fairfax, VA",101696,8,3/31/19
761,Principal DevSecOps Engineer,"Washington, DC 20001 (Shaw area)•Remote",187500,6,9/28/18
949,Program Analyst,"Washington, DC",110998,7,6/4/17
925,Program Analyst,"Fort Belvoir, VA•Temporarily Remote",93056,6,5/19/20
923,Management and Program Analyst,"Laurel, MD",100280,4,8/20/19
904,FINANCIAL MANAGEMENT ANALYST,"Washington Navy Yard, DC",147515,8,2/17/17
953,Program Analyst,"Arlington County, VA",119244,7,5/30/19
962,"Management and Program Analyst, GS-0343-13/14 (MAP)","Silver Spring, MD",131488,6,12/27/19
921,Operations Research Analyst,"Washington, DC",138858,6,8/24/18
1048,LOGISTICS MANAGEMENT SPECIALIST,"Andrews AFB, MD",100280,8,1/15/19
1214,Senior Security Risk Analyst,"Charlotte, NC",54000,4,7/26/18
913,Senior Analyst - Disability Evaluation System (DES) Program,"Arlington, VA 22202 (Aurora Highlands area)",82500,10,3/27/17
955,Financial Analyst,"Washington, DC•Temporarily Remote",79040,11,10/30/17
958,Senior Program Analyst,"Arlington, VA",123242,3,9/29/17
908,"Research Analyst II - Human Rights, Civil Society, and Inclu...","Washington, DC 20520 (Foggy Bottom area)",97500,5,8/24/19
974,Senior Policy Advisor,"Washington, DC",140908,11,2/23/20
916,"Research Analyst II - Human Rights, Civil Society, and Inclu...","Washington, DC 20520 (Foggy Bottom area)",97500,4,6/18/18
945,Senior Program Analyst,"Arlington, VA",123242,6,5/6/19
938,Management And Program Analyst,"Washington, DC",140908,5,2/1/20
806,Senior IT Support Specialist,"Bowie, MD 20715",90000,3,3/29/17
983,Senior IT Support Specialist,"Bowie, MD 20715",90000,11,2/8/17
1060,Sr. Software/Systems Architect,"Reston, VA 20170•Remote",140250,6,3/9/20
878,Sr. Software/Systems Architect,"Reston, VA 20170•Remote",140250,9,9/14/17
1031,Security Administrative Specialist (Senior-Level) - TS/SCI w...,"Chantilly, VA 20151",122000,11,6/11/19
846,Security Administrative Specialist (Senior-Level) - TS/SCI w...,"Chantilly, VA 20151",122000,11,7/21/19
2499,Data Analyst,"Raleigh, NC",62500,7,11/25/20
273,Full Stack Developer,"Reston, VA 20191",107500,5,2/17/18
282,Full Stack Developer,"Reston, VA 20191",107500,11,10/19/20
653,Systems Development Engineer,"Herndon, VA",106300,6,6/19/19
327,Senior Software Engineer (Full-Stack) - Remote,"Washington, DC 20006 (Downtown area)•Remote",134000,3,9/24/19
1213,"Senior Security Analyst, IAM","Mooresville, NC",48000,6,3/3/17
1402,Data Analyst,"Santa Clara, CA",54500,11,5/13/20
2921,Data Analyst (Clearance),"Arlington, VA",118000,8,9/11/19
2165,Data Analyst (Clearance),"Washington, DC",93000,10,9/14/19
2743,Data Analyst (Healthcare Payer Experience Mandatory)-10+years exp,United States,51000,3,3/6/20
942,Management and Program Analyst,"Washington, DC•Remote",106421,7,11/14/19
937,Budget Analyst,"Washington, DC",131488,5,6/20/17
1115,Senior Robotics Engineer - Drone / Government / AV / AI,"Gaithersburg, MD 20878",117500,6,6/2/20
1135,Senior Robotics Engineer - Drone / Government / AV / AI,"Gaithersburg, MD 20878",117500,3,4/14/18
1124,Senior Robotics Engineer - Drone / Government / AV / AI,"Gaithersburg, MD 20878",117500,5,7/3/19
1103,Senior Robotics Engineer - Drone / Government / AV / AI,"Gaithersburg, MD 20878",117500,5,2/16/17
1415,Data Analyst,"Austin, TX",65000,9,1/21/18
965,Operations Reseach Analyst,"Andrews AFB, MD",49736.5,6,3/11/17
1578,Data Analyst,"New York, NY",66500,7,8/23/19
893,PROGRAM ANALYST,"Washington Navy Yard, DC•Remote",147515,3,6/11/17
2144,Data Analyst,"Washington, DC",118000,5,11/26/20
812,"Senior Consumer Affairs Specialist, CG-0301-14","Washington, DC",175577.5,4,4/3/17
991,"Senior Consumer Affairs Specialist, CG-0301-14","Washington, DC",175577.5,6,3/18/18
2078,Data Analyst,"Kirkland, WA",51000,5,5/31/18
2904,Data Analyst,"Washington, DC",62500,11,5/31/19
2118,Data Analyst,"Washington, DC",66000,7,3/25/18
2169,Data Analyst,"Washington, DC",93000,11,7/10/20
2181,Data Analyst,"Washington, DC",68500,4,1/2/18
2158,Data Analyst,"Rockville, MD",93000,10,9/26/17
1591,Data Analyst,"New York, NY",69500,7,7/31/17
2031,Data Analyst,"Philadelphia, PA",53000,3,7/24/18
3176,Data Analyst,"Irving, TX",60500,5,7/5/19
1375,Data Analyst,"Irving, TX",60500,6,6/11/18
1502,Data Analyst,"San Diego, CA",47000,7,8/17/20
1672,Senior Data Analyst,"Draper, UT",36500,6,1/22/19
1676,Senior Data Analyst,"Draper, UT",36500,4,6/15/18
2047,Senior Data Analyst,"Santa Clara, CA",86500,8,4/7/17
2204,Data Analyst,"Arlington, VA",62500,6,10/14/19
951,OPERATIONS RESEARCH ANALYST,"Arlington, VA",140908,11,5/18/19
971,All Source Analyst,"Arlington, VA",88000,8,10/4/19
950,OPERATIONS RESEARCH ANALYST,"Arlington, VA",140908,5,7/5/18
969,All Source Analyst,"Arlington, VA",88000,6,4/22/17
3054,Data Analyst,"Scott AFB, IL",51500,3,6/17/18
2708,Data Analyst,"Scott AFB, IL",92500,5,4/29/18
2478,Data Analyst,"Leavenworth, KS",71000,5,9/13/20
847,Administrative and Management Support Specialist - Senior,"Alexandria, VA",63500,8,7/13/17
1000,LOGISTICS MANAGEMENT SPECIALIST,"Washington Navy Yard, DC",110998,4,3/22/19
554,Scrum Master Administrator,"Fort Belvoir, VA 22060•Remote",127500,8,7/23/19
586,Scrum Master Administrator,"Fort Belvoir, VA 22060•Remote",127500,10,1/2/17
1023,Administrative and Management Support Specialist - Senior,"Alexandria, VA",63500,8,6/3/19
1004,LOGISTICS MANAGEMENT SPECIALIST,"Washington Navy Yard, DC",140908,10,12/23/20
1237,Cloud Engineer (Infra),"San Antonio, TX",87000,10,10/29/20
3319,Software Development Engineer,"San Diego, CA",69000,4,6/23/20
1210,Senior Security Compliance Analyst - SAP Fieldglass,"Chicago, IL",68500,11,4/16/19
1219,Senior Security Compliance Analyst - SAP Fieldglass,"Chicago, IL",68500,3,9/26/18
1294,Senior Analyst,"Chicago, IL",86000,11,9/8/20
3109,Senior Analyst,"Chicago, IL",86000,4,12/4/17
2143,Data Analyst,"Fairfax, VA",118000,7,7/10/18
1737,Data Analyst,"Chicago, IL",77500,11,4/26/19
161,Digital Project Coordinator,"Washington, DC 20024 (Southwest Federal Center area)",54250,9,7/3/19
943,PROGRAM ANALYST,"Arlington, VA",140908,4,7/13/17
947,Management Analyst,"Washington, DC",56531.5,5,1/29/19
960,Senior Program Analyst,"Washington Navy Yard, DC",140908,11,5/19/18
758,Controls Engineer - Remote,United States,72500,4,10/12/20
743,Controls Engineer - Remote,United States,72500,9,8/17/18
752,Controls Engineer - Remote,United States,72500,4,3/25/19
738,Controls Engineer - Remote,United States,72500,11,1/27/18
313,Senior Electrical Engineer,"Washington, DC•Temporarily Remote",95000,8,2/27/20
2127,Data Analyst,"Washington, DC",77000,8,1/6/17
1446,Senior Analyst,"Los Angeles, CA",84500,8,7/11/17
3240,Senior Analyst,"Los Angeles, CA",84500,11,3/1/19
2736,Data Analyst,United States,92500,5,12/13/17
461,Technical Project Manager - Secret clearance required,"Washington, DC",112375,6,2/15/20
478,Technical Project Manager - Secret clearance required,"Washington, DC",112375,8,7/17/20
2205,Data Analyst,"Washington, DC",62500,5,8/27/19
883,Intelligence Analyst,"Arlington, VA•Temporarily Remote",82000,8,10/13/20
1469,Data Analyst,"Bridgeview, IL",83500,4,2/13/20
1756,Data Analyst,"Bridgeview, IL",59000,4,2/11/20
3263,Data Analyst,"Bridgeview, IL",83500,9,2/15/20
372,Senior Identity and Access Engineer,"Washington, DC•Temporarily Remote",128960,3,4/24/19
368,Senior Identity and Access Engineer,"Washington, DC•Temporarily Remote",128960,9,11/9/19
329,Senior Network Engineer,"Silver Spring, MD 20910",99000,8,3/22/18
352,Senior Systems Engineer,"Largo, MD 20774",61418.5,8,12/16/18
872,Interdisciplinary- Computer Engineering Advisor/Mathematics...,"Washington, DC",165926,9,4/27/19
401,Sr. System Engineer,"Fort Meade, MD",133500,11,5/4/17
1051,Interdisciplinary- Computer Engineering Advisor/Mathematics...,"Washington, DC",165926,3,3/15/18
873,Interdisciplinary- Computer Engineering Advisor/Mathematics...,"Washington, DC",165926,9,5/24/17
820,IT Specialist (APPSW/CUSTSPT),"Washington, DC",119244,6,9/20/17
176,Digital Marketing & Training Assistant,"Odenton, MD•Remote",49920,7,9/27/19
822,Information Technology Specialist (Sr. Systems Administrator...,"Washington, DC",140908,3,2/9/18
125,Machine Room Coordinator - Entry to Mid Level (Multiple Loca...,"Fort Meade, MD",46027.5,6,1/17/18
35,Front End Web Developer,"Washington, DC 20036 (Dupont Circle area)",85000,9,4/24/18
126,Sr. PL/SQL Developer,"Herndon, VA 20170•Temporarily Remote",135000,6,8/31/20
2600,Data Analyst - SECRET clearance required,"Honolulu, HI",49000,9,2/9/19
3072,Data Analyst,"Los Angeles, CA",131000,9,6/5/19
2450,"Data Analyst - Merchant, Credit Card or Banking Services (not IT)","Alpharetta, GA",57500,4,9/10/17
891,"Senior Manager, Physical Security (E-ISAC)","Washington, DC 20005 (Downtown area)•Temporarily Remote",135000,6,5/22/19
1007,Foreign Service Human Resources Officer,"Washington, DC 20520 (Foggy Bottom area)",91657,5,6/1/18
888,"Senior Manager, Physical Security (E-ISAC)","Washington, DC 20005 (Downtown area)•Temporarily Remote",135000,6,5/18/20
838,Supervisory Regulatory Specialist,"Arlington, VA",158314,5,8/18/18
1018,Supervisory Regulatory Specialist,"Arlington, VA",158314,6,4/25/17
829,Foreign Service Human Resources Officer,"Washington, DC 20520 (Foggy Bottom area)",91657,9,8/21/19
1014,Foreign Service Human Resources Officer,"Washington, DC 20520 (Foggy Bottom area)",91657,11,7/13/20
1589,Data Analyst,"New York, NY",69500,7,11/6/19
2598,Data Analyst,"San Dimas, CA",53500,11,6/30/18
3071,Data Analyst,"Williamsville, NY",57500,3,4/20/17
1215,"Senior Security Data Analyst Job, Pittsburgh, $130,000 basic salary","Pittsburgh, PA",119500,8,12/29/18
1635,Data Analyst,"Little Ferry, NJ",59500,3,7/16/19
309,Cloud Engineer,"Alexandria, VA 22315•Temporarily Remote",130000,5,8/5/19
311,Cloud Engineer,"Rockville, MD 20850 (Town Center area)",100000,7,8/21/18
301,Cloud Engineer,"Alexandria, VA 22315•Temporarily Remote",130000,5,8/17/19
319,Cloud Engineer,"Rockville, MD 20850 (Town Center area)",100000,10,5/20/19
1601,Data Analyst,"New York, NY",69000,5,4/30/17
409,DevOps Engineer,"Gaithersburg, MD",102500,4,6/25/20
2151,Data Analyst,"Annapolis Junction, MD",118000,8,8/21/19
966,Data Analyst I,"Fairfax, VA",80368.5,9,4/17/20
2321,Data Analyst - Remote,"Oklahoma City, OK",75500,3,7/17/20
3038,Data Analyst (Call Center Supervisor - Remote),"Orlando, FL",51500,3,4/20/19
2905,Data Analyst,"Vienna, VA",62500,11,5/4/19
2004,Data Analyst,"Denver, CO",62000,11,5/24/20
3017,Data Analyst,"San Bernardino, CA",47500,7,7/19/19
170,ColdFusion Developer,"Herndon, VA 20170•Remote",115500,5,7/15/19
7,ColdFusion Developer,"Herndon, VA 20170•Remote",115500,6,11/30/20
328,Senior Security Engineer,"Washington, DC 20006 (Foggy Bottom area)",125000,4,4/2/19
389,Senior Network Engineer,"Andrews AFB, MD 20762•Temporarily Remote",145441,7,10/7/20
894,Policy Analyst,"Washington, DC",86750.5,4,8/31/18
1656,Data Analyst - Cardiac Cath Lab,"West Orange, NJ",104500,11,7/1/17
2197,Data Analyst,"Vienna, VA",62500,5,9/28/19
2672,Data Analyst,"Orlando, FL",48000,6,11/16/20
2565,Data Analyst,"Tulsa, OK",62000,7,8/5/20
1059,Infrastructure Specialist (Network Engineer) - Senior,"Bethesda, MD 20816",115000,7,10/6/17
774,Mathematician/Engineer - Feedback control [Relocate to Singa...,United States,148800,7,9/5/19
715,Mathematician/Engineer - Feedback control [Relocate to Singa...,United States,148800,3,11/20/19
756,Mathematician/Engineer - Feedback control [Relocate to Singa...,United States,148800,11,8/31/18
725,Mathematician/Engineer - Feedback control [Relocate to Singa...,United States,148800,4,1/16/18
778,Mathematician/Engineer - Feedback control [Relocate to Singa...,United States,148800,4,2/28/18
735,Mathematician/Engineer - Feedback control [Relocate to Singa...,United States,148800,11,4/10/19
757,Mathematician/Engineer - Feedback control [Relocate to Singa...,United States,148800,6,11/13/20
2136,Data Analyst,"Vienna, VA",77000,5,2/2/18
1549,Data Analyst,"Charlotte, NC",57000,3,11/6/19
2918,Data Analyst - Evening,"Arlington, VA",68500,4,10/10/18
2187,Data Analyst - Evening,"Washington, DC",68500,8,4/12/18
3052,Data Analyst,Puerto Rico,92500,6,12/29/20
2490,Data Analyst,"Omaha, NE",64500,4,10/30/19
2990,Data Analyst,"Omaha, NE",46500,4,6/2/17
3322,Software Development Engineer,"Dallas, TX",149000,8,7/8/19
948,Budget Analyst,"Washington, DC",100280,6,1/18/19
1020,SYSTEMS ANALYST III - 21-146-70-DV,"Largo, MD 20774",80760.5,7,5/3/19
841,SYSTEMS ANALYST III - 21-146-70-DV,"Largo, MD 20774+1 location",80760.5,11,8/9/19
2152,Data Analyst,"Arlington, VA",118000,9,5/30/17
3063,Data Analyst - Quality Systems (Contract),"Raritan, NJ",64500,5,5/19/19
1989,Data Analyst,"Seattle, WA",51000,11,8/7/18
1761,Senior Data Analyst,"Chicago, IL",59000,4,2/14/17
2793,Data Analyst,"New York, NY",66500,7,11/20/20
2562,Data Analyst,"Edina, MN",55500,11,8/8/18
2473,Data Analyst,"Grain Valley, MO",65500,8,1/11/20
2988,Data Analyst,"Grain Valley, MO",50000,3,10/12/17
2476,Data Analyst,"Grain Valley, MO",65500,8,7/14/20
1841,Senior Data Analyst,"Arlington, TX",68000,3,10/12/17
922,Financial Analyst,"Washington, DC",140908,7,12/22/17
818,"Cyber Security Education, Training and Awareness Specialist","Washington, DC 20003 (Navy Yard area)",145000,3,4/18/17
851,Information Technology Specialist (Datamgt) (Open to both U....,"Washington, DC",119244,5,3/28/19
1030,Information Technology Specialist (Datamgt) (Open to both U....,"Washington, DC",119244,5,11/8/17
195,Lead DevOps Cloud Engineer - 100% remote (JO-2106-121916),"Washington, DC 20001 (Shaw area)•Remote",150000,10,12/24/18
214,Lead DevOps Cloud Engineer - 100% remote (JO-2106-121916),"Washington, DC 20001 (Shaw area)•Remote",150000,4,5/7/18
870,API Development Specialist,"Washington, DC 20002 (Truxton Circle area)•Remote",104000,10,12/28/18
871,API Development Specialist,"Washington, DC 20002 (Truxton Circle area)•Remote",104000,5,5/6/19
1047,API Development Specialist,"Washington, DC 20002 (Truxton Circle area)•Remote",104000,5,5/5/20
1664,Data Analyst,"Salt Lake City, UT",36500,11,7/15/18
911,PROCUREMENT ANALYST,"Fort Belvoir, VA",147515,11,11/6/20
1797,Senior Data Analyst,"Philadelphia, PA",53000,10,10/12/18
1266,Data Analyst,"Los Angeles, CA",108500,4,7/13/20
3084,Data Analyst,"Los Angeles, CA",108500,6,9/18/19
1941,Data Analyst,"San Francisco, CA",138500,11,2/24/20
2583,Data Analyst,"New Orleans, LA",67000,6,7/5/20
3202,Data Analyst,"Sunnyvale, CA",121500,10,11/14/19
1406,Data Analyst,"Sunnyvale, CA",121500,7,1/14/17
718,Senior Mechanical Engineer - Drone / Government / AV / AI,"Gaithersburg, MD 20878",117500,10,12/27/20
749,Senior Mechanical Engineer - Drone / Government / AV / AI,"Gaithersburg, MD 20878",117500,4,5/11/19
713,Senior Mechanical Engineer - Drone / Government / AV / AI,"Gaithersburg, MD 20878",117500,5,4/6/18
763,Senior Mechanical Engineer - Drone / Government / AV / AI,"Gaithersburg, MD 20878",117500,5,8/23/20
773,Senior Mechanical Engineer - Drone / Government / AV / AI,"Gaithersburg, MD 20878",117500,6,10/11/18
777,Senior Mechanical Engineer - Drone / Government / AV / AI,"Gaithersburg, MD 20878",117500,5,3/21/17
919,PROGRAM ANALYST,"Washington, DC",140908,9,11/14/19
1246,Cloud Software Engineer,"Fort Worth, TX",61000,10,6/29/20
1953,Data Analyst,"Marin City, CA",126000,4,2/4/20
999,Information Technology Specialist (Sr. Systems Administrator...,"Washington, DC",140908,9,9/9/17
2488,Data Analyst,"Omaha, NE",64500,4,12/9/20
1973,Data Analyst,"San Ramon, CA",92500,10,3/1/19
1786,Data Analyst,"Camden, NJ",59500,6,11/3/20
691,Systems Engineer TS-SCI,"Herndon, VA",162500,11,11/4/18
944,OPERATIONS RESEARCH ANALYST,"Fort Belvoir, VA",140908,11,3/13/17
964,Supervisory Auditor (Deputy Executive Director),"Washington, DC",158314,4,10/26/18
957,OPERATIONS RESEARCH ANALYST,"Fort Belvoir, VA",140908,4,9/1/19
417,Senior Software Engineer - Service Mesh,"Washington, DC 20006 (Downtown area)•Remote",134000,10,12/26/19
3325,Software Development Engineer,"Austin, TX",96500,11,9/30/20
