,title,company,salary,summary,location,Experience
4252,"Director, Project Management",Wabtec,,"Define execution methodologies and project management practices to be followed by all projects within the program.
Manage day-to-day execution of projects.","Germantown, MD 20876",7
4253,Senior Project Manager,"Aveshka, Inc.",,"Provide project management and planning support for government projects/programs.
Support new project identification and tracking and project requirements…","Washington, DC 20001 (Shaw area)",3
4254,Project Manager,System Automation,,"Maintains consistent, ongoing contact with clients regarding project status, and conducts weekly project status meetings with agency project managers.","Columbia, MD 21046•Remote",6
4255,Senior Project Manager,Simple Technology Solutions,,"Coordinate project issues and dependencies.
Previous experience in leading projects in .
Using Agile methodologies, this role coordinates project issues and…","Washington, DC 20006 (Downtown area)",2
4256,Scrum Master,Qbase,,"At least (7) years of experience as an IT project manager.
Experience with VOIP project management is desired.
Experience with successful Agile techniques.","Washington, DC 20001 (Shaw area)",1
4257,Program Manager and Fellow,The German Marshall Fund of the United States,,"Excellent project management skills and an ability to meet deadlines.
Assist in developing and tracking project budgets, proposals, and grant reports.","Washington, DC 20009 (U Street Corridor area)",1
4258,Agile SAFe Project Manager and Scrum Development Manager,Executive Recruiting,,"Provide implementation guidance/support to the customer throughout the project life cycle.
The candidate will support a variety of projects to evaluate emerging…","College Park, MD 20740",6
4259,"Regional Program Manager, GREF Technology (Americas)",Amazon.com Services LLC,,"Ability to develop roadmaps and proactively manage project schedules, project constraints and the prioritization of project tasks.","Arlington, VA",3
4260,"Project Manager, Technical",Amdex Corporation,,"Experienced in IT project management within an Agile environment.
Ensure the necessary project documents are prepared, peer reviewed and delivered.","Suitland, MD 20746",1
4261,Federal - Technology Strategy Senior Manager,Accenture,,"The Technology Strategy Senior Manager will play a wide variety of roles related to delivery and sales, shaping solutions for clients.","Arlington, VA",2
4262,Engineering Program Manager – Threat Research - Opportunity...,VMware,,"Defining program reviews to provide feedback and requirements for future projects.
5+ years’ experience in leading/managing large scale software product…","Washington, DC+1 location•Remote",5
4263,"Program Manager -Customer Experience, Design, and Enterprise...",Technical Assent,,"Connect the big picture between project and client business/mission goals.
Responsible and accountable for leading a project team of adult learning and HCD…","Washington, DC•Remote",4
4264,Privacy Risk Program Manager,Facebook,,The Privacy Risk Program Manager will be a critical part of Facebook’s Central Privacy Program and be responsible for Privacy Risk Management related efforts.,"Washington, DC 20004 (Penn Quarter area)",1
4265,Online Course Management - Program Manager,Sabel Systems,,Sabel Systems requires a Program Manager to provide Online Course Management to service an existing Marine Corps client by assisting with Information Technology…,"Arlington, VA 22202 (Aurora Highlands area)",4
4266,Safety Program Manager,Covanta,,You must be legally authorized to work in the country where this job is located and not require any sponsorship assistance from Covanta.,"Derwood, MD",7
4267,"Network Implementation Program Manager (OSP) Washington, DC...",Lumen,,"Understanding of contracts management and project accounting.
Prepares project timelines, prepares and tracks budgets and provides detailed weekly status…","Washington, DC 20005 (Downtown area)",3
4268,IT Project Coordinator,Mb Staffing Services,"$130,000 - $143,000 a year","Prepares and reviews project budgets.
Extensive knowledge of project management software.
Negotiates with other agencies for project staff resources.","Washington, DC•Temporarily Remote",5
4269,Federal - IT Project Manager,Accenture,,Demonstrated ability to collaborate effectively with other project managers involving interdependent projects on large programs.,"Arlington, VA",7
4270,Project Manager,GuidePoint Security,,"Experience with network security projects preferred.
Manage project issues and risks to resolution.
Maintain the OpenAir PSA application for project data.","Reston, VA 20190+1 location•Remote",4
4271,Senior Project Manager (Tech),Peraton,,"Conducts project meetings and is responsible for project tracking and analysis.
Defines project scope and objectives.
Support data acquisition process control.","Fort Meade, MD",7
4272,Electrical Vehicle Project Manager,Bureau Veritas Building Assessments & Project...,,"Facilitate the definition of project scope, goals, and deliverables for each project.
Provide direction and support to the project team and present reports…","Washington, DC•Temporarily Remote",6
4273,Senior Project Manager - Fintech,"Linear Financial Technologies, LLC",,"Coordinate and manage multiple projects simultaneously.
Coordinate and run team meetings, create project schedules, send meeting notes, follow up on progress of…","Reston, VA",7
4274,ISSO Project Manager/Lead,Steampunk,,Lead teams of 5-10 Information System Security Officers (ISSOs) in delivering continuous monitoring and security authorization support according to developed…,"Washington, DC 20024 (Southwest Federal Center area)•Remote",3
4275,Program Manager,TekSynap,,"7+ years' experience of relevant project/program management.
Serves as the program manager responsible for organizing, directing, and managing all aspects of…","Rockville, MD+2 locations",1
4276,Web Project Manager,Blue Corona,,"Creating and overseeing the execution of website project timelines.
Using a consultative approach, you will manage new WordPress website projects to develop a…","Gaithersburg, MD 20879",5
4277,CIO - Enterprise Resource Planner Project Manager,"Technology, Automation, and Management, Inc.",,"Update CPIC reporting status reports.
Support overall investment portfolio management activities, including all CPIC Review Board reviews and approvals.","Washington, DC",7
4278,Program Manager Senior,Futron Incorporated,,"Experience providing oversight of large, multi-functional project teams, preferably in an information technology environment, planning and managing complex…","Washington, DC",1
4279,Program Manager,REI Systems,,"Proven experience using project management frameworks and Agile development methodologies.
And project complexities; consults and advises senior Federal…","Sterling, VA 20166",4
4280,Program Manager,"ValidaTek, Inc.",,"Prioritizes, tracks and manages projects ensuring deadlines are met.
Develops project plans, and facilitates resolution of all issues to reach program goals.","Suitland, MD",6
4281,"Project Manager I, Sci-Tech",Frederick National Laboratory,,"Have worked as a project manager delivering a product.
Share lessons learned with the other project managers in the PMO.
Be accountable for project status.","Rockville, MD 20850",6
4282,"Project Manager, Science and Technology",Zenetex LLC,,"You will also work directly the program manager and clients to lead the management of daily/weekly operations, priorities, planning, schedules, tasks, reporting…","Arlington, VA",6
4283,Scrum Master,Metric5,,"Schedule and conduct meetings with assigned technical staff to gain insight into the state of the individual release and sprint plans, schedules, deliverables,…","Washington, DC 20220 (Downtown area)",3
4284,"Program Manager, Centralized TimeKeeping",Amazon.com Services LLC,,"Prioritize competing demands & deliverables on multiple projects.
3+ years’ experience in program or project management.","Arlington, VA",7
4285,Program Manager,Cambium Learning Group,,"Making sure that other members of the project team are aware of any changes to the project scope.
The Program Manager will assist with managing all aspects of…","Washington, DC",4
4286,"Manager, Federal Agile Program Management",KPMG,,Experience with IT project management and Agile methodologies (SAFe/scrum) with direct professional experience delivering agile IT projects.,"Washington, DC 20006 (Dupont Circle area)+1 location",5
4287,Project Manager - Level II,"Technical and Management Resources, Inc.",,"Typically oversee all aspects of the project, leading a team on large projects or a significant segment of large and complex projects.","Bethesda, MD",3
4288,Program Manager,Red Cedar Consultancy LLC,,Critical to this role are the solid understanding of web based solutions as well as 10 years of more experience in managing and interacting in key roles on…,"McLean, VA 22102",7
4289,Program Manager,Infostretch Corporation,,"Oversee multiple project teams, ensuring program goals are reached.
Work closely with project stakeholders, cross-functional teams, and assigned project /…","Bethesda, MD 20817",1
4290,Scrum Master,Logistics Management Institute,,"Each Scrum Master will support multiple projects simultaneously.
Work with geographically dispersed geographically diverse project team(s), including internal…","Tysons, VA•Remote",3
4291,Scrum Master,Tista Science and Technology Corporation,,"Work as part of cross-functional Agile and SDLC project teams.
Coordinate with the release manager on environment setups & maintenance, code deployments, and…","Rockville, MD 20854",2
4292,Program Manager (Secret clearance + DARPA or DoD Experience...,AM LLC,,"A minimum of ten (10) years of experience as a program manager providing support to contracts of a similar size, scope and complexity is highly desirable.","Arlington, VA",2
4293,Project Manager 3,"Salient CRGT, Inc",,"Plans, and manages the full scope of project activities from beginning to end including: defining project scope, requirements, and objectives; identifying risks…","Rockville, MD 20852+1 location",7
4294,Technical Program Manager,Kythera Software Inc,,"Prepare project plans and coordinate completion of project deliverables from planning through.
Experience estimating and costing software development projects.","Bethesda, MD 20814",3
4295,Technical Project Manager,Verato Inc.,,"Manage the end-to-end execution of customer implementation projects from contract signing through production go live, Identify and communicate project risks and…","McLean, VA 22102",6
4296,Program Manager 2a,"Salient CRGT, Inc",,12+ years of relevant experience providing project management support for enterprise level IT projects and a bachelors degree.,"Washington, DC 20016 (AU-Tenleytown area)+1 location",5
4297,Program Manager,AttainX,,"Experience in Agile software development project management.
Serve as a single point of accountability and responsibility to the government; coordinates and…","Herndon, VA 20171",7
4298,SR. PROJECT MANAGER - HEALTHCARE (W2/1099 POSITION),DATEC,,"Experience with direct project management and release management experience is required.
Strong technical writing and documentation skills.","Rockville, MD•Temporarily Remote",2
4299,Program Manager,Audley Consulting Group,,"Experience in Agile software development project management.
ACG is seeking to fill a Program Manager position in support of the General Services Administration…","Rockville, MD 20850•Remote",4
4300,Lead IT Senior Scrum Master,Marsh,,"Proactively partners with Product Owners to define sophisticated user stories, disables complex road blocks, and leads project teams to deliver large-scale…","Bethesda, MD 20814 (Wisconsin North area)",6
4301,Compliance Program Manager - Culture & Policy Governance,Facebook,,"Undertake special projects and support other compliance program initiatives, as needed.
Experience running project management or program management initiatives…","Washington, DC 20004 (Penn Quarter area)",5
4302,Data Center Site Development Program Manager,Facebook,,"5+ years of project management and/or site development experience.
Experience with Excel, project management software, and PowerPoint.","Reston, VA 20190 (Sunset Hills area)",3
4303,Security & Compliance Program Manager,RELX,,"Experience leading technical projects and ensuring contractual requirements are delivered with quality.
They will serve as the primary project communication…","Washington, DC",2
4304,Senior Global Payroll Program Manager,Amazon.com Services LLC,,"Building project plans and templates such as project schedules, risk logs, status reports, etc.
Building project plans and templates such as project schedules,…","Arlington, VA",1
4305,DTRA Program Manager,General Dynamics Information Technology,,"Providing effective productivity and management processes for requirements management, project plans, project estimates and management, subcontract management,…","Fort Belvoir, VA",2
4306,"Discovery Technical Project Manager - Washington, D.C. - Pe...",Legility,,"Strong technical project management skills, including experience with Excel, project management tools, as well as Relativity and other eDiscovery software.","Washington, DC",2
4307,IT Project Manager,Seneca Resources,$55 - $70 an hour,Advanced skill in project management to include establishing and leading project teams; managing timelines/deadlines/resources; ensuring successful project…,"Reston, VA•Temporarily Remote",4
4308,IT Project Coordinator,Mb Staffing Services,"$130,000 - $143,000 a year","Prepares and reviews project budgets.
Extensive knowledge of project management software.
Negotiates with other agencies for project staff resources.","Washington, DC•Temporarily Remote",6
4309,PROGRAM MANAGER - STUDENT LOAN PROGRAM,"RJM Technologies, Inc.",$38 - $40 an hour,Reporting and Project Management: Manage the project plan and track key performance indicators (KPIs) to create monthly and quarterly reports.,"Washington, DC•Remote",5
4310,Project/Program Manager,Insight Global,$68.26 - $75.00 an hour,"Thorough understanding of project management techniques and methods.
Excellent knowledge of MS Office and project management software (Jira, Confluence, MS…","Bethesda, MD•Remote",6
4311,Project Manager - eDiscovery IT Infrastructure,Venturis LLC,,"Technical project management: 8 years (Required).
Project Management for enterprise infrastructure project: 8-10 years.","Rockville, MD",3
4312,Project Manager III,Kforce,,"Manage project resources including procuring project staff, developing, motivating, coaching and advising.
Project Manager III will develop, track and manage…","Herndon, VA 20170",2
4313,ERP Project Manager,Crossroads RMC LLC,"$120,000 - $150,000 a year",Performing work in the project plan to accomplish the project objectives under the project scope statement / Statement of Work (SOW).,United States•Remote,4
4314,Radiology Software Project Manager (Remote Position),Magview,"$50,000 - $65,000 a year",Provide direction and oversight throughout the project lifecycle to project team to meet applicable business requirements.,United States•Remote,2
4315,Junior Technical Project Manager (Permanently Remote),Clarity Ventures,"$40,000 - $75,000 a year",Clarity Ventures is seeking a project manager (with heavy emphasis on being a customer advocate) to work with accounts and provide them updates on a regular…,United States•Remote,1
4316,Sr. IT Project Manager,Voca,,"A Project Manager is responsible for driving moderately complex projects and/or components/phases of larger, more complex projects.",United States,1
4317,Senior IT Program Manager - Retail -100% REMOTE,Food Management Search,,"Conducts project meetings and is responsible for program / project deliverables.
Regularly meeting with project stakeholders regarding project scope, status and…",United States•Remote,5
4318,Oracle Cloud Project Portfolio Management (PPM) Consultant,Deloitte,,"For our clients, our Oracle ERP Cloud Consultants reduce cost and support innovation at the enterprise level by managing business requirements and leading the…","Rosslyn, VA 22209 (Radnor-Ft Myer Heights area)+1 location",6
4319,Task Order Project Manager,Tri-Cor Industries,,"Serves as the project manager for a large, complex task order (or a group of task orders affecting the same system) and shall assist the Program Manager in…","Reston, VA 20190",5
4320,Software Project Manager,Newbrook,,You will work as a project manager providing a comprehensive range of oversight and system engineering activities supporting the dynamic needs of the various…,"Washington, DC 20032 (Anacostia area)",5
4321,Technical Project Manager,MetroStar,,Proven project management expert with ability to utilize effective project management skills and tools to effectively communicate all facets of a project with…,"Washington, DC",2
4322,Senior Project Manager,System One,,Advanced skill in project management to include establishing and leading project teams; managing timelines/deadlines/resources; ensuring successful project…,"Vienna, VA•Remote",4
4323,Project Manager III,Kforce,,"Manage project resources including procuring project staff, developing, motivating, coaching and advising.
Project Manager III will develop, track and manage…","Herndon, VA 20170+1 location",3
4324,Software Project Manager,Sparks Group,,"Create/maintain a Software Development Schedule for a complex product in collaboration with the engineering managers, technical leads, product managers and…","Columbia, MD 21046",6
4325,ERP Project Manager,Crossroads RMC LLC,"$120,000 - $150,000 a year",Performing work in the project plan to accomplish the project objectives under the project scope statement / Statement of Work (SOW).,United States•Remote,5
4326,Radiology Software Project Manager (Remote Position),Magview,"$50,000 - $65,000 a year",Provide direction and oversight throughout the project lifecycle to project team to meet applicable business requirements.,United States•Remote,2
4327,Junior Technical Project Manager (Permanently Remote),Clarity Ventures,"$40,000 - $75,000 a year",Clarity Ventures is seeking a project manager (with heavy emphasis on being a customer advocate) to work with accounts and provide them updates on a regular…,United States•Remote,2
4328,Sr. IT Project Manager,Voca,,"A Project Manager is responsible for driving moderately complex projects and/or components/phases of larger, more complex projects.",United States,2
4329,Project Manager,Launch,"$50,000 - $75,000 a year","Track project costs in order to meet project budget.
Track project progress with estimate versus actual costs throughout the project.",United States•Remote,3
4330,Freight and Transit Engineer/Project Manager,Leidos,,We are looking for a motivated professional with a background in transportation engineering and project management who will lead projects developing CAV use…,"McLean, VA 22102",5
4331,Task Order Project Senior Manager II,Peraton,,"Develops mechanisms for monitoring project progress and for intervention and problem solving with project managers, line managers, and clients.","Beltsville, MD",2
4332,Scrum Master,Computer Enterprises Incorporated,$58 - $65 an hour,"Manage app development projects using Jira and other tracking tools.
This resource will be a part of the Business VoiceEdge portal dev team.","Reston, VA 20190 (Sunset Hills area)•Temporarily Remote",6
4333,Compliance Technical Program Manager - Remote,Eagle Harbor Solutions,,"Experience in US Department of State software development projects.
Manage and Coordinate with project team members to achieve and maintain ATO for client’s…","Washington, DC 20024 (Southwest Waterfront area)•Remote",5
4334,"Technical Program Manager, Chrome Security",Google,,"As a Technical Program Manager at Google, you’ll use your technical expertise to lead complex, multi-disciplinary projects from start to finish.","Washington, DC (NoMa area)",4
4335,Cloud Support IT Program Manager,Dezign Concepts LLC,,"Demonstrated experience developing realistic project schedules.
Demonstrated experience developing project plans, to include defining measurable milestones and…","Herndon, VA 20171",5
4336,Senior IT Project Manager,​Markesman Group,,"Manage IT projects for the Department of State in coordination with customer managers.
Experience working in project management for software development,…","Herndon, VA",5
4337,"Naval IT Program Management Specialist, Mid",Booz Allen Hamilton,,"Ability to manage multiple projects, adjusting to shifting priorities and solving problems quickly.
With that level of complexity, you need to keep the project…","Washington, DC",2
4338,Security & Compliance Program Manager,RELX,,"Experience leading technical projects and ensuring contractual requirements are delivered with quality.
They will serve as the primary project communication…","Washington, DC",2
4339,Senior Global Payroll Program Manager,Amazon.com Services LLC,,"Building project plans and templates such as project schedules, risk logs, status reports, etc.
Building project plans and templates such as project schedules,…","Arlington, VA",1
4340,DTRA Program Manager,General Dynamics Information Technology,,"Providing effective productivity and management processes for requirements management, project plans, project estimates and management, subcontract management,…","Fort Belvoir, VA",6
4341,Scrum Master,Sparks Group,,"Serve as the Scrum Master for large technical projects; provide consulting support on non-technical projects.
2+ years of agile project management experience.","Arlington, VA 22201",1
4342,ERP Project Manager,Crossroads RMC LLC,"$120,000 - $150,000 a year",Performing work in the project plan to accomplish the project objectives under the project scope statement / Statement of Work (SOW).,United States•Remote,7
4343,Radiology Software Project Manager (Remote Position),Magview,"$50,000 - $65,000 a year",Provide direction and oversight throughout the project lifecycle to project team to meet applicable business requirements.,United States•Remote,3
4344,Junior Technical Project Manager (Permanently Remote),Clarity Ventures,"$40,000 - $75,000 a year",Clarity Ventures is seeking a project manager (with heavy emphasis on being a customer advocate) to work with accounts and provide them updates on a regular…,United States•Remote,1
4345,Sr. IT Project Manager,Voca,,"A Project Manager is responsible for driving moderately complex projects and/or components/phases of larger, more complex projects.",United States,6
4346,R&D Pharma IT Project Manager - Contractor,EY,,"Defines project scope and leads the development, documentation and implementation of large-scale projects and change initiatives in line with organizational…",United States,1
4347,Systems Engineer - Requirements/Technical Delivery,Peraton,,"This requires interacting with mission partners, portfolio owners, requirements managers, customer account managers, and business analysts to elicit, understand…","Herndon, VA 20170",4
4348,Project Manager,Ho-Chunk,,The project manager takes the responsibility of a specific project or several projects within a Risk Management / IT /Software implementation / development back…,"Washington, DC",3
4349,Oracle Cloud Project Portfolio Management (PPM) Consultant,Deloitte,,"For our clients, our Oracle ERP Cloud Consultants reduce cost and support innovation at the enterprise level by managing business requirements and leading the…","Rosslyn, VA 22209 (Radnor-Ft Myer Heights area)+1 location",4
4350,Task Order Project Manager,Tri-Cor Industries,,"Serves as the project manager for a large, complex task order (or a group of task orders affecting the same system) and shall assist the Program Manager in…","Reston, VA 20190",6
4351,Software Project Manager,Newbrook,,You will work as a project manager providing a comprehensive range of oversight and system engineering activities supporting the dynamic needs of the various…,"Washington, DC 20032 (Anacostia area)",6
4352,Technical Project Manager,MetroStar,,Proven project management expert with ability to utilize effective project management skills and tools to effectively communicate all facets of a project with…,"Washington, DC",3
4353,Technical Project Manager,System One,$57 an hour,"Create and maintain project budgets, schedules, status reports and all required project artifacts for the lifecycle of the project.","Rockville, MD",3
4354,ERP Project Manager,Crossroads RMC LLC,"$120,000 - $150,000 a year",Performing work in the project plan to accomplish the project objectives under the project scope statement / Statement of Work (SOW).,United States•Remote,7
4355,Radiology Software Project Manager (Remote Position),Magview,"$50,000 - $65,000 a year",Provide direction and oversight throughout the project lifecycle to project team to meet applicable business requirements.,United States•Remote,4
4356,Junior Technical Project Manager (Permanently Remote),Clarity Ventures,"$40,000 - $75,000 a year",Clarity Ventures is seeking a project manager (with heavy emphasis on being a customer advocate) to work with accounts and provide them updates on a regular…,United States•Remote,7
4357,Sr. IT Project Manager,Voca,,"A Project Manager is responsible for driving moderately complex projects and/or components/phases of larger, more complex projects.",United States,1
4358,Global - Learning and Development Project Manager,CoreAxis Consulting,,"Translate statement of works into detailed project plans using Hive.
Provide project status reports to clients and the VP of Custom Development.",United States,5
4359,Program Manager,ManTech International Corporation,,"Ten (10) years experience as a program or project manager in managing programs and contracts of similar scope, type, and complexity is required.","College Park, MD+2 locations",4
4360,Technical Project Manager- Sharepoint,"Data Systems Analysts, Inc.",,"Minimum 5 years technical project management experience.
Experience creating and managing project schedules and resource allocation with Microsoft Project.","Fairfax, VA 22030",4
4361,Senior Project Manager,Kforce,,"Senior Project Manager will develop, cultivate, and manage client relationships.
Maintain lines of communication and delivery with government contracts and…","Reston, VA 20190 (Sunset Hills area)",2
4362,Scrum Master,Computer Enterprises Incorporated,$58 - $65 an hour,"Manage app development projects using Jira and other tracking tools.
This resource will be a part of the Business VoiceEdge portal dev team.","Reston, VA 20190 (Sunset Hills area)•Temporarily Remote",6
4363,Information Technology Program Manager,gTANGIBLE Corporation,,"Manage other IT-related projects with which IAD branches may require project management support.
At least ten (10) years of experience performing project…","Arlington, VA 22209 (Radnor-Ft Myer Heights area)",7
4364,Agile Coach w/ active Secret Clearance,Deloitte,,"In this role, you will support the Agile organizational transformation of the client, realigning the client's operating model to break down organizational silos…","Rosslyn, VA 22209 (Radnor-Ft Myer Heights area)+11 locations",5
4365,Technical Project Manager,Lateetud,,Create detailed project plans for projects by working closely with project teams and managing client expectation.,"Ashburn, VA 20147",2
4366,Project Manager,Sogea Technology,,"Demonstrated on-the-job experience with project management methodologies to include the ability to plan projects, meet objectives, develop contingencies, and…","Sterling, VA",3
4367,Program Manager/Task Lead,CALNET INC.,,"Provides direction, prioritization, coordination, and conflict resolution while managing project teams that accomplish project objectives.","Reston, VA 20191 (Hattontown area)",4
4368,Project Manager,Intelligent Automation,,"Extensive knowledge on program/project management methods.
Five (5) years of experience in R&D program/project management.
Assign and track tasks to developers.","Rockville, MD 20855",1
4369,IT Project Manager,Seneca Resources,$55 - $70 an hour,Advanced skill in project management to include establishing and leading project teams; managing timelines/deadlines/resources; ensuring successful project…,"Reston, VA•Temporarily Remote",3
4370,IT Project Coordinator,Mb Staffing Services,"$130,000 - $143,000 a year","Prepares and reviews project budgets.
Extensive knowledge of project management software.
Negotiates with other agencies for project staff resources.","Washington, DC•Temporarily Remote",4
4371,Project/Program Manager,Insight Global,$68.26 - $75.00 an hour,"Thorough understanding of project management techniques and methods.
Excellent knowledge of MS Office and project management software (Jira, Confluence, MS…","Bethesda, MD•Remote",6
4372,2021735 Technical Delivery Owner (Subject Matter Expert) $21...,B4CORP,"Up to $2,000 a week","Position Requires a Top Secret (TS/SCI) Clearance with a Polygraph.
Position Level Min Salary Max Salary.
B4Corp provides a low overhead, highly efficient, high…","Reston, VA+1 location",3
4373,Software Project Manager,Sparks Group,,"Create/maintain a Software Development Schedule for a complex product in collaboration with the engineering managers, technical leads, product managers and…","Columbia, MD 21046",5
4374,ERP Project Manager,Crossroads RMC LLC,"$120,000 - $150,000 a year",Performing work in the project plan to accomplish the project objectives under the project scope statement / Statement of Work (SOW).,United States•Remote,1
4375,Radiology Software Project Manager (Remote Position),Magview,"$50,000 - $65,000 a year",Provide direction and oversight throughout the project lifecycle to project team to meet applicable business requirements.,United States•Remote,4
4376,Junior Technical Project Manager (Permanently Remote),Clarity Ventures,"$40,000 - $75,000 a year",Clarity Ventures is seeking a project manager (with heavy emphasis on being a customer advocate) to work with accounts and provide them updates on a regular…,United States•Remote,2
4377,Sr. IT Project Manager,Voca,,"A Project Manager is responsible for driving moderately complex projects and/or components/phases of larger, more complex projects.",United States,4
4378,Senior Global Payroll Program Manager,Amazon.com Services LLC,,"Building project plans and templates such as project schedules, risk logs, status reports, etc.
Building project plans and templates such as project schedules,…","Arlington, VA",1
4379,DTRA Program Manager,General Dynamics Information Technology,,"Providing effective productivity and management processes for requirements management, project plans, project estimates and management, subcontract management,…","Fort Belvoir, VA",1
4380,Project Manager - eDiscovery IT Infrastructure,Venturis LLC,,"Technical project management: 8 years (Required).
Project Management for enterprise infrastructure project: 8-10 years.","Rockville, MD",1
4381,Technical Project Manager,System One,$57 an hour,"Create and maintain project budgets, schedules, status reports and all required project artifacts for the lifecycle of the project.","Rockville, MD",3
4382,ERP Project Manager,Crossroads RMC LLC,"$120,000 - $150,000 a year",Performing work in the project plan to accomplish the project objectives under the project scope statement / Statement of Work (SOW).,United States•Remote,6
4383,Radiology Software Project Manager (Remote Position),Magview,"$50,000 - $65,000 a year",Provide direction and oversight throughout the project lifecycle to project team to meet applicable business requirements.,United States•Remote,6
4384,Junior Technical Project Manager (Permanently Remote),Clarity Ventures,"$40,000 - $75,000 a year",Clarity Ventures is seeking a project manager (with heavy emphasis on being a customer advocate) to work with accounts and provide them updates on a regular…,United States•Remote,2
4385,Sr. IT Project Manager,Voca,,"A Project Manager is responsible for driving moderately complex projects and/or components/phases of larger, more complex projects.",United States,6
4386,Senior Project Manager - remote,Computershare,,"Manage and track project team progress and financials against the plan.
Work with stakeholders and GP&D management to define project scope, initiate, plan and…",United States•Remote,4
4387,Program Manager – Large Software implementation projects,BAE Systems,,"The candidate will be a servant leader leading projects through the project lifecycle including Planning and Analysis, Execution and Solution Deployment and…","Reston, VA 20190 (Sunset Hills area)",6
4388,Agile Development Manager - AWS and Data,Freddie Mac,,Demonstrable understanding of current technologies with the ability to develop and deliver projects using groundbreaking technologies.,"McLean, VA 22102",2
4389,Senior Project Manager,Kforce,,"Senior Project Manager will develop, cultivate, and manage client relationships.
Maintain lines of communication and delivery with government contracts and…","Reston, VA 20190 (Sunset Hills area)",7
4390,Technical Project Manager,Kforce,,Proven project management expert with ability to utilize effective project management skills and tools to effectively communicate all facets of a project with…,"Reston, VA 20190 (Sunset Hills area)",4
4391,Sr Scrum Master-Local to Virginia only,Myticas Consulting ULC,,In a Scrum Master role for multiple teams and/or experience leading a team or on enterprise-wide projects with complex technical components.,"Herndon, VA 20171",1
4392,Systems Engineer - Requirements/Technical Delivery,Peraton,,"This requires interacting with mission partners, portfolio owners, requirements managers, customer account managers, and business analysts to elicit, understand…","Herndon, VA 20170",7
4393,Task Order Project Manager,Tri-Cor Industries,,"Serves as the project manager for a large, complex task order (or a group of task orders affecting the same system) and shall assist the Program Manager in…","Reston, VA 20190",4
4394,Software Project Manager,Newbrook,,You will work as a project manager providing a comprehensive range of oversight and system engineering activities supporting the dynamic needs of the various…,"Washington, DC 20032 (Anacostia area)",4
4395,Technical Project Manager,MetroStar,,Proven project management expert with ability to utilize effective project management skills and tools to effectively communicate all facets of a project with…,"Washington, DC",7
4396,IT Project Coordinator,Mb Staffing Services,"$130,000 - $143,000 a year","Prepares and reviews project budgets.
Extensive knowledge of project management software.
Negotiates with other agencies for project staff resources.","Washington, DC•Temporarily Remote",1
4397,Project/Program Manager,Insight Global,$68.26 - $75.00 an hour,"Thorough understanding of project management techniques and methods.
Excellent knowledge of MS Office and project management software (Jira, Confluence, MS…","Bethesda, MD•Remote",3
4398,ERP Project Manager,Crossroads RMC LLC,"$120,000 - $150,000 a year",Performing work in the project plan to accomplish the project objectives under the project scope statement / Statement of Work (SOW).,United States•Remote,7
4399,Radiology Software Project Manager (Remote Position),Magview,"$50,000 - $65,000 a year",Provide direction and oversight throughout the project lifecycle to project team to meet applicable business requirements.,United States•Remote,7
4400,Junior Technical Project Manager (Permanently Remote),Clarity Ventures,"$40,000 - $75,000 a year",Clarity Ventures is seeking a project manager (with heavy emphasis on being a customer advocate) to work with accounts and provide them updates on a regular…,United States•Remote,6
4401,Sr. IT Project Manager,Voca,,"A Project Manager is responsible for driving moderately complex projects and/or components/phases of larger, more complex projects.",United States,7
4402,Senior Project Manager,SCP Health,,"Coaches and mentors junior level project managers.
This role also serves as a mentor for junior level project managers.
Participates in peer to peer reviews.",United States•Remote,6
4403,Senior Scrum Master,Walmart,,"Developing and enhancing products – you will manage product roadmaps, align business and technical needs, analyze customer and product data, turn customer…","Washington, DC 20022",2
4404,Master Scheduler (Program Manager III) - REMOTE (req2053),Frederick National Laboratory,,"Prepares comprehensive project schedules and assist with the management of project milestones.
Strong project management background and understanding of project…","Bethesda, MD 20811•Remote",1
4405,Project Task Manager,ManTech International Corporation,,"Works with project manager and/or customer to prepare work schedules and man-hour estimates.
Ensures all activities are carried out in accordance with project…","Herndon, VA 20171",1
4406,Scrum Master Administrator,JRC Integrated Systems,"$120,000 - $135,000 a year","This position will support the Defense Stockpile Management System (DSMS) including Nuclear Management Information System (NUMIS), Defense Integration and…","Fort Belvoir, VA 22060•Remote",4
4407,Technology Transitioning Engineer Program Manager,Booz Allen Hamilton,,"Experience with client facing, project planning, and budgeting.
5+ years of experience with functional teams including analytics, designers, and engineers…","Washington, DC",4
4408,Commercial Space Program Manager,Bryce Space and Technology,,"10 years of previous analysis experience, with at least 3 years of project management experience on commercial or government projects.","Alexandria, VA",7
4409,Cloud Project Manager,ASCENDING,,"Coordinates the activities of each project team member and track progress against project deliverables.
Maintain project documentation and ensure status, risks…","Fairfax, VA",5
4410,"Information Assurance Program Manager (IA PM, PMP required)","MindPoint Group, LLC",,"Establish, document, and manage the scope, schedule, resource allocation, cost, and expense tracking for projects and sustaining activities to ensure successful…","Washington, DC",5
4411,IT Program Manager,BasisPath,,"Bachelor’s degree in related field.
Demonstrated resource and financial management.
Demonstrated experience and knowledge in requirements gathering.","Reston, VA",1
4412,Security Program Analyst Manager (Secret Clearance),Deloitte,,"Enhance cyber awareness with clients and project teams.
This Security Program will lead a team assisting with the program management of Office of the CISO for…","Washington, DC",7
